tick,type,king,knight,merc,amount,stake,p_knight,notes,trait,delta,invest,wealth_created,rv,threshold,employer,agent
8,defend_win,K-00,N-01,M-08,,76185,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-09,,,,insufficient funds,,,,,9.3,319,,
8,defend_win,K-00,N-01,M-09,,83804,0.9370266439430035,knight wins (p=0.937),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-10,,,,insufficient funds,,,,,8.8,319,,
8,defend_win,K-00,N-01,M-10,,92184,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-11,,,,insufficient funds,,,,,9.05,319,,
8,defend_win,K-00,N-01,M-11,,101403,0.95,knight wins (p=0.950),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-12,,,,insufficient funds,,,,,9.55,319,,
8,defend_win,K-00,N-01,M-12,,111543,0.9168273035060777,knight wins (p=0.917),,,,,,,,
8,bribe_insufficient_funds,K-00,,M-13,,,,insufficient funds,,,,,8.55,319,,
8,defend_win,K-00,N-01,M-13,,122697,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-00,,,,insufficient funds,,,,,8.55,319,,
9,defend_win,K-00,N-01,M-00,,134967,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-01,,,,insufficient funds,,,,,9.3,319,,
9,defend_win,K-00,N-01,M-01,,148464,0.9370266439430035,knight wins (p=0.937),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-02,,,,insufficient funds,,,,,10.05,319,,
9,defend_win,K-00,N-01,M-02,,163310,0.8581489350995123,knight wins (p=0.858),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-03,,,,insufficient funds,,,,,7.800000000000001,319,,
9,defend_win,K-00,N-01,M-03,,179641,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-04,,,,insufficient funds,,,,,7.050000000000001,319,,
9,defend_win,K-00,N-01,M-04,,197605,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-05,,,,insufficient funds,,,,,8.8,319,,
9,defend_win,K-00,N-01,M-05,,217366,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-06,,,,insufficient funds,,,,,9.05,319,,
9,defend_win,K-00,N-01,M-06,,239102,0.95,knight wins (p=0.950),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-07,,,,insufficient funds,,,,,9.8,319,,
9,defend_win,K-00,N-01,M-07,,263012,0.8909031788043871,knight wins (p=0.891),,,,,,,,
9,bribe_insufficient_funds,K-00,,M-08,,,,insufficient funds,,,,,9.3,319,,
